Kappa:
is_hollow,0.0
has_blume,0.0
has_rost_head,0.5209713024282561
has_rost_body,0.2530120481927711
is_bended,0.12539184952978044
is_violet,0.4521975532396919
Accuracy:
is_hollow,0.989247311827957
has_blume,0.7741935483870968
has_rost_head,0.7741935483870968
has_rost_body,0.7419354838709677
is_bended,0.7741935483870968
is_violet,0.8602150537634409
F1:
is_hollow,0.9945945945945948
has_blume,0.8727272727272727
has_rost_head,0.7802351925774085
has_rost_body,0.8073118279569894
is_bended,0.8543057503506312
is_violet,0.8365756708219683
